Date,Time,Measurement,Presence
27/12/2018,15:07:41,11.5388155,Yes
27/12/2018,15:07:47,23.29434156,Yes
27/12/2018,15:07:54,22.44794369,Yes
27/12/2018,15:08:16,13.66912127,Yes
27/12/2018,15:08:46,15.44778347,Yes
27/12/2018,15:09:17,24.45967197,Yes
27/12/2018,15:09:43,29.25183773,Yes
27/12/2018,15:09:49,23.69914055,Yes
27/12/2018,15:09:58,9.948241711,Yes
27/12/2018,15:10:24,18.06466579,Yes
27/12/2018,15:10:29,14.60547447,Yes
27/12/2018,15:10:44,17.42680073,Yes
27/12/2018,15:10:46,19.35266256,Yes
27/12/2018,15:10:48,27.93112993,Yes
27/12/2018,15:10:51,19.49168444,Yes
27/12/2018,15:10:53,14.68725204,Yes
27/12/2018,15:11:11,13.26841116,Yes
27/12/2018,15:11:22,29.49717045,Yes
27/12/2018,15:11:29,19.97008324,Yes
27/12/2018,15:11:37,12.87587881,Yes
27/12/2018,15:11:42,19.88012791,Yes
27/12/2018,15:11:45,12.56512403,Yes
27/12/2018,15:11:58,11.65739298,Yes
27/12/2018,15:12:02,15.1165843,Yes
27/12/2018,15:12:17,19.32404041,Yes
27/12/2018,15:12:31,26.45095587,Yes
27/12/2018,15:12:34,25.89486837,Yes
27/12/2018,15:13:19,20.35852671,Yes
27/12/2018,15:13:23,11.22397184,Yes
27/12/2018,15:13:25,27.3832202,Yes
27/12/2018,15:13:34,6.268250942,Yes
27/12/2018,15:13:40,23.87905121,Yes
27/12/2018,15:13:43,25.07300377,Yes
27/12/2018,15:13:46,11.25668287,Yes
27/12/2018,15:14:08,25.51869154,Yes
27/12/2018,15:14:12,25.47780275,Yes
27/12/2018,15:14:15,18.64937544,Yes
27/12/2018,15:14:17,22.60740995,Yes
27/12/2018,15:14:27,10.63108444,Yes
27/12/2018,15:14:30,18.13008785,Yes
27/12/2018,15:14:58,22.39478827,Yes
27/12/2018,15:15:11,15.7299161,Yes
27/12/2018,15:15:32,12.9535675,Yes
27/12/2018,15:15:54,17.99515486,Yes
27/12/2018,15:16:00,29.61574793,Yes
27/12/2018,15:16:14,28.32775116,Yes
27/12/2018,15:16:39,28.63441706,Yes
27/12/2018,15:17:24,12.36476898,Yes
27/12/2018,15:25:54,27.06428766,Yes
27/12/2018,15:26:57,18.73115301,Yes
27/12/2018,15:29:26,21.59336805,Yes
27/12/2018,15:29:46,18.54715347,Yes
27/12/2018,15:29:54,12.38521338,Yes
27/12/2018,15:30:20,16.65400267,Yes
27/12/2018,15:30:39,29.96330261,Yes
27/12/2018,15:31:02,21.18039131,Yes
27/12/2018,15:31:21,17.34911203,Yes
27/12/2018,15:31:26,29.54214811,Yes
27/12/2018,15:35:44,6.260073185,Yes
27/12/2018,15:37:14,18.94786358,Yes
27/12/2018,15:39:26,16.99746847,Yes
27/12/2018,15:39:50,26.74535513,Yes
27/12/2018,15:39:52,28.36046219,Yes
27/12/2018,15:40:29,28.82250547,Yes
27/12/2018,15:40:46,20.17861605,Yes
27/12/2018,15:40:50,28.92881632,Yes
27/12/2018,15:41:56,26.67584419,Yes
27/12/2018,15:42:49,19.95372772,Yes
27/12/2018,15:42:57,19.76972818,Yes
27/12/2018,15:42:59,16.19195938,Yes
27/12/2018,15:43:07,29.99601364,Yes
27/12/2018,15:43:27,14.06574249,Yes
27/12/2018,15:43:37,11.01543903,Yes
27/12/2018,15:44:53,11.58788204,Yes
27/12/2018,15:46:12,23.81362915,Yes
27/12/2018,15:46:50,13.37881088,Yes
27/12/2018,15:47:47,17.73346663,Yes
27/12/2018,15:47:49,18.7147975,Yes
27/12/2018,15:47:52,24.29202795,Yes
27/12/2018,15:48:13,19.34448481,Yes
27/12/2018,15:50:39,26.56135559,Yes
27/12/2018,15:52:14,10.70877314,Yes
27/12/2018,15:52:19,28.42997313,Yes
27/12/2018,15:52:29,19.12777424,Yes
27/12/2018,15:52:48,22.86092043,Yes
27/12/2018,15:53:25,18.53897572,Yes
27/12/2018,15:53:35,18.67390871,Yes
27/12/2018,15:56:05,18.60439777,Yes
27/12/2018,15:57:27,27.24010944,Yes
27/12/2018,15:57:54,29.02694941,Yes
27/12/2018,15:58:24,29.97965813,Yes
27/12/2018,15:58:26,26.8271327,Yes
27/12/2018,15:58:31,27.32188702,Yes
27/12/2018,15:58:41,22.03087807,Yes
27/12/2018,15:58:57,17.11195707,Yes
27/12/2018,15:59:02,24.02625084,Yes
27/12/2018,15:59:07,19.03373003,Yes
27/12/2018,15:59:22,12.63872385,Yes
27/12/2018,15:59:25,26.97024345,Yes
27/12/2018,16:00:01,12.60601282,Yes
27/12/2018,16:00:22,15.88938236,Yes
27/12/2018,16:00:29,27.33824253,Yes
27/12/2018,16:00:37,11.65739298,Yes
27/12/2018,16:00:53,29.82019186,Yes
27/12/2018,16:01:01,26.20562315,Yes
27/12/2018,16:01:25,18.59213114,Yes
27/12/2018,16:01:32,27.20739841,Yes
27/12/2018,16:01:42,23.44971895,Yes
27/12/2018,16:01:46,20.81648111,Yes
27/12/2018,16:01:50,29.91014719,Yes
27/12/2018,16:01:54,23.51105213,Yes
27/12/2018,16:02:05,29.27228212,Yes
27/12/2018,16:02:26,21.14768028,Yes
27/12/2018,16:02:40,24.06305075,Yes
27/12/2018,16:02:45,29.15779352,Yes
27/12/2018,16:02:52,19.11959648,Yes
27/12/2018,16:03:05,21.32350206,Yes
27/12/2018,16:03:36,17.25506783,Yes
27/12/2018,16:03:42,12.53650188,Yes
27/12/2018,16:04:50,17.3368454,Yes
27/12/2018,16:05:31,14.66271877,Yes
